Actual,Error,Item_id,Predicted,Store_id,Sum Actual,Sum Predicted
[2 1 1 0 2 2 4 1 1],28.5714285714,228,[ 1.  2.  2.  3.  2.  2.  3.  2.  1.],186,14,18.0
[1 3 3 1 4 1 4 3 3],26.0869565217,228,[ 3.  4.  4.  4.  2.  1.  3.  4.  4.],187,23,29.0
[1 1 1 1 1 0 1 5 1],8.33333333333,228,[ 1.  1.  3.  1.  1.  1.  1.  1.  1.],188,12,11.0
[1 2 0 0 0 0 0 0 0],33.3333333333,228,[ 0.  2.  1.  1.  0.  0.  0.  0.  0.],189,3,4.0
[0 0 0 0 1 1 3 1 1],28.5714285714,228,[ 0.  1.  0.  1.  1.  2.  2.  2.  0.],190,7,9.0
[2 5 1 1 3 1 0 1 5],5.26315789474,228,[ 1.  2.  2.  5.  1.  3.  1.  2.  1.],191,19,18.0
[ 5  2  1  0  1  0 -1  2  2],75.0,228,[ 3.  3.  1.  1.  3.  3.  3.  3.  1.],192,12,21.0
[2 0 1 1 2 0 1 2 1],220.0,228,[ 6.  3.  2.  3.  4.  2.  4.  5.  3.],193,10,32.0
[3 2 0 0 3 0 2 0 8],33.3333333333,228,[ 3.  3.  6.  2.  1.  3.  3.  1.  2.],194,18,24.0
[1 0 0 1 1 0 1 3 1],37.5,228,[ 1.  0.  0.  2.  0.  1.  1.  0.  0.],196,8,5.0
[1 0 1 2 0 2 2 5 2],20.0,228,[ 2.  0.  2.  0.  3.  2.  1.  0.  2.],197,15,12.0
[2 4 4 1 0 0 2 0 4],29.4117647059,228,[ 1.  4.  5.  2.  5.  1.  1.  2.  1.],198,17,22.0
[2 8 2 0 1 3 4 3 4],0.0,228,[ 4.  1.  3.  5.  3.  3.  3.  3.  2.],199,27,27.0
[1 0 0 0 1 0 1 1 1],120.0,228,[ 0.  3.  1.  0.  0.  2.  2.  2.  1.],200,5,11.0
[0 2 1 1 4 0 0 0 0],125.0,228,[ 2.  1.  5.  3.  1.  2.  2.  1.  1.],201,8,18.0
[1 2 0 0 0 2 1 1 0],0.0,228,[ 1.  0.  0.  3.  0.  0.  2.  1.  0.],202,7,7.0
